24-09-16 22:54:42.179 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@63db743d, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@496cedbb, org.springframework.security.web.context.SecurityContextPersistenceFilter@3a0896b3, org.springframework.security.web.header.HeaderWriterFilter@6009cd34, org.springframework.security.web.authentication.logout.LogoutFilter@43e8f1c, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@762bf32d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@54c11750, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1753475d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6b6def36, org.springframework.security.web.session.SessionManagementFilter@305b43ca, org.springframework.security.web.access.ExceptionTranslationFilter@7b377a53, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@60dcf9ec] 
24-09-16 22:54:51.127 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/19.0.1+10-21", "application": {"name": "Cluster0"}} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='shubhrarawat21', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@55f4887d]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.0pvxidc.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-72z8fo-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null} 
24-09-16 22:54:51.245 [cluster-ClusterId{value='66e869e33eae51576fc487ea', description='null'}-srv-cluster0.0pvxidc.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-crwnjbr-shard-00-01.0pvxidc.mongodb.net:27017 to client view of cluster 
24-09-16 22:54:51.302 [cluster-ClusterId{value='66e869e33eae51576fc487ea', description='null'}-srv-cluster0.0pvxidc.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-crwnjbr-shard-00-00.0pvxidc.mongodb.net:27017 to client view of cluster 
24-09-16 22:54:51.304 [cluster-ClusterId{value='66e869e33eae51576fc487ea', description='null'}-srv-cluster0.0pvxidc.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-crwnjbr-shard-00-02.0pvxidc.mongodb.net:27017 to client view of cluster 
24-09-16 22:54:51.862 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@5b251fb9 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-crwnjbr-shard-00-01.0pvxidc.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-crwnjbr-shard-00-00.0pvxidc.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-crwnjbr-shard-00-02.0pvxidc.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out 
24-09-16 22:54:52.490 [cluster-ClusterId{value='66e869e33eae51576fc487ea', description='null'}-ac-crwnjbr-shard-00-00.0pvxidc.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:6025}] to ac-crwnjbr-shard-00-00.0pvxidc.mongodb.net:27017 
24-09-16 22:54:52.490 [cluster-ClusterId{value='66e869e33eae51576fc487ea', description='null'}-ac-crwnjbr-shard-00-02.0pvxidc.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:5775}] to ac-crwnjbr-shard-00-02.0pvxidc.mongodb.net:27017 
24-09-16 22:54:52.490 [cluster-rtt-ClusterId{value='66e869e33eae51576fc487ea', description='null'}-ac-crwnjbr-shard-00-02.0pvxidc.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:5775}] to ac-crwnjbr-shard-00-02.0pvxidc.mongodb.net:27017 
24-09-16 22:54:52.490 [cluster-rtt-ClusterId{value='66e869e33eae51576fc487ea', description='null'}-ac-crwnjbr-shard-00-01.0pvxidc.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:6749}] to ac-crwnjbr-shard-00-01.0pvxidc.mongodb.net:27017 
24-09-16 22:54:52.490 [cluster-rtt-ClusterId{value='66e869e33eae51576fc487ea', description='null'}-ac-crwnjbr-shard-00-00.0pvxidc.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:6025}] to ac-crwnjbr-shard-00-00.0pvxidc.mongodb.net:27017 
24-09-16 22:54:52.490 [cluster-ClusterId{value='66e869e33eae51576fc487ea', description='null'}-ac-crwnjbr-shard-00-01.0pvxidc.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:6725}] to ac-crwnjbr-shard-00-01.0pvxidc.mongodb.net:27017 
24-09-16 22:54:52.491 [cluster-ClusterId{value='66e869e33eae51576fc487ea', description='null'}-ac-crwnjbr-shard-00-02.0pvxidc.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-crwnjbr-shard-00-02.0pvxidc.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=610614000, setName='atlas-72z8fo-shard-0', canonicalAddress=ac-crwnjbr-shard-00-02.0pvxidc.mongodb.net:27017, hosts=[ac-crwnjbr-shard-00-00.0pvxidc.mongodb.net:27017, ac-crwnjbr-shard-00-01.0pvxidc.mongodb.net:27017, ac-crwnjbr-shard-00-02.0pvxidc.mongodb.net:27017], passives=[], arbiters=[], primary='ac-crwnjbr-shard-00-01.0pvxidc.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=116, topologyVersion=TopologyVersion{processId=66e821065195057d30d84114, counter=5}, lastWriteDate=Mon Sep 16 22:54:51 IST 2024, lastUpdateTimeNanos=1183009539377200} 
24-09-16 22:54:52.491 [cluster-ClusterId{value='66e869e33eae51576fc487ea', description='null'}-ac-crwnjbr-shard-00-00.0pvxidc.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-crwnjbr-shard-00-00.0pvxidc.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=592725500, setName='atlas-72z8fo-shard-0', canonicalAddress=ac-crwnjbr-shard-00-00.0pvxidc.mongodb.net:27017, hosts=[ac-crwnjbr-shard-00-00.0pvxidc.mongodb.net:27017, ac-crwnjbr-shard-00-01.0pvxidc.mongodb.net:27017, ac-crwnjbr-shard-00-02.0pvxidc.mongodb.net:27017], passives=[], arbiters=[], primary='ac-crwnjbr-shard-00-01.0pvxidc.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=116, topologyVersion=TopologyVersion{processId=66e81f854f8fe34ea6f6ac64, counter=5}, lastWriteDate=Mon Sep 16 22:54:51 IST 2024, lastUpdateTimeNanos=1183009539108200} 
24-09-16 22:54:52.492 [cluster-ClusterId{value='66e869e33eae51576fc487ea', description='null'}-ac-crwnjbr-shard-00-01.0pvxidc.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-crwnjbr-shard-00-01.0pvxidc.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=602820800, setName='atlas-72z8fo-shard-0', canonicalAddress=ac-crwnjbr-shard-00-01.0pvxidc.mongodb.net:27017, hosts=[ac-crwnjbr-shard-00-00.0pvxidc.mongodb.net:27017, ac-crwnjbr-shard-00-01.0pvxidc.mongodb.net:27017, ac-crwnjbr-shard-00-02.0pvxidc.mongodb.net:27017], passives=[], arbiters=[], primary='ac-crwnjbr-shard-00-01.0pvxidc.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000006e, setVersion=116, topologyVersion=TopologyVersion{processId=66e81ec6f482677a1f28dc72, counter=9}, lastWriteDate=Mon Sep 16 22:54:51 IST 2024, lastUpdateTimeNanos=1183009539106700} 
24-09-16 22:54:52.501 [cluster-ClusterId{value='66e869e33eae51576fc487ea', description='null'}-ac-crwnjbr-shard-00-01.0pvxidc.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff000000000000006e from replica set primary ac-crwnjbr-shard-00-01.0pvxidc.mongodb.net:27017 
24-09-16 22:54:52.501 [cluster-ClusterId{value='66e869e33eae51576fc487ea', description='null'}-ac-crwnjbr-shard-00-01.0pvxidc.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 116 from replica set primary ac-crwnjbr-shard-00-01.0pvxidc.mongodb.net:27017 
24-09-16 22:54:52.501 [cluster-ClusterId{value='66e869e33eae51576fc487ea', description='null'}-ac-crwnjbr-shard-00-01.0pvxidc.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-crwnjbr-shard-00-01.0pvxidc.mongodb.net:27017 
24-09-16 22:54:52.759 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:6637}] to ac-crwnjbr-shard-00-01.0pvxidc.mongodb.net:27017 
